timestamp,vm_id,min_cpu,avg_cpu,max_cpu
0,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,1.882512,6.242948,4.199854
300,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,3.1738869999999997,6.579003999999999,4.788066000000001
600,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,2.2989669999999998,6.332867,3.7660199999999997
900,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,3.144695,6.09186,4.751409
1200,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,2.011475,7.283035000000001,4.216552
1500,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,1.9085860000000001,6.910943,4.332694999999999
1800,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,3.085445,7.930402000000001,4.589231
2100,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,1.543428,5.806499,4.216221
2400,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,3.262443,6.28869,4.509745
2700,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,1.668937,6.352918,4.224881
3000,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,3.146472,7.366885000000001,4.576718
3300,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,2.8685169999999998,5.874215,4.038634
3600,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,3.109466,6.636564,4.789623000000001
3900,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,2.199194,5.796078,4.06933
4200,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,1.6027639999999999,5.830916,4.340375
4500,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,3.2640569999999998,43.318975,12.391465
4800,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,2.294432,29.620860999999998,7.105117
5100,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,3.166302,6.116536,4.532828
5400,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,1.857462,6.1774,4.275029
5700,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,3.103113,6.9816139999999995,4.312456
6000,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,1.788244,6.268487,4.173878
6300,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,3.141381,7.303397,4.7378599999999995
6600,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,2.388532,6.47574,3.8717870000000003
6900,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,1.8666610000000001,6.276682,4.588544000000001
7200,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,3.128858,7.209060000000001,4.345625
7500,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,1.6701290000000002,6.517094999999999,4.148911
7800,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,3.2186779999999997,6.284743,4.71707
8100,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,3.1970400000000003,7.2703429999999996,4.342593
8400,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,3.0485029999999997,20.375954999999998,6.78715
8700,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,1.8312669999999998,6.24102,4.149901
9000,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,3.19552,7.363397999999999,4.768306
9300,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,1.800548,5.567321,3.814343
9600,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,2.6907259999999997,7.53287,4.697553
9900,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,3.1382209999999997,7.202819,4.274793
10200,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,2.205186,6.774116,4.178283
10500,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,3.121598,6.924805,4.433905
10800,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,2.171714,6.076396,4.275059
11100,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,3.1661770000000002,6.212362000000001,4.566749
11400,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,2.681093,6.369685,4.123241
11700,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,3.094928,6.65278,4.478587
12000,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,2.407994,5.840193,3.9632379999999996
12300,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,2.310452,6.125358,4.374080999999999
12600,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,3.1131580000000003,5.775778,4.136736
12900,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,2.1319779999999997,5.851317,4.173698
13200,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,3.120574,5.866821,4.331141000000001
13500,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,1.9806080000000001,6.095357,4.184813
13800,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,3.097065,6.142075,4.559396
14100,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,2.259242,5.508183,4.1364220000000005
14400,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,3.102855,6.548749,4.2596940000000005
14700,a1ej0TP9zKeRZXSAb3+r58t1n7bSeo0ysnV//sik4lDeUNN+X01bopgUf2mh9oaE,3.0954349999999997,6.269386,4.230928
