timestamp,vm_id,min_cpu,avg_cpu,max_cpu
0,a3F/HJvNXvOHvvxCkvzRyVSMLxdX/P9KQVeIXxILgqQ5iEMlka3tnVBp8Y6NG4hO,5.72342,22.9367,9.847804
300,a3F/HJvNXvOHvvxCkvzRyVSMLxdX/P9KQVeIXxILgqQ5iEMlka3tnVBp8Y6NG4hO,5.528045,39.822053000000004,12.781703
600,a3F/HJvNXvOHvvxCkvzRyVSMLxdX/P9KQVeIXxILgqQ5iEMlka3tnVBp8Y6NG4hO,5.732634,12.782162,8.558056
900,a3F/HJvNXvOHvvxCkvzRyVSMLxdX/P9KQVeIXxILgqQ5iEMlka3tnVBp8Y6NG4hO,5.620083,35.426373,10.685998
1200,a3F/HJvNXvOHvvxCkvzRyVSMLxdX/P9KQVeIXxILgqQ5iEMlka3tnVBp8Y6NG4hO,5.546012999999999,12.331564,8.611675
1500,a3F/HJvNXvOHvvxCkvzRyVSMLxdX/P9KQVeIXxILgqQ5iEMlka3tnVBp8Y6NG4hO,5.145018,16.845087,9.652716999999999
1800,a3F/HJvNXvOHvvxCkvzRyVSMLxdX/P9KQVeIXxILgqQ5iEMlka3tnVBp8Y6NG4hO,5.890795,17.325013000000002,9.180226
2100,a3F/HJvNXvOHvvxCkvzRyVSMLxdX/P9KQVeIXxILgqQ5iEMlka3tnVBp8Y6NG4hO,3.844229,44.905014,15.16825
2400,a3F/HJvNXvOHvvxCkvzRyVSMLxdX/P9KQVeIXxILgqQ5iEMlka3tnVBp8Y6NG4hO,2.390417,14.892841,8.574764
2700,a3F/HJvNXvOHvvxCkvzRyVSMLxdX/P9KQVeIXxILgqQ5iEMlka3tnVBp8Y6NG4hO,5.181280999999999,14.12315,8.588134
3000,a3F/HJvNXvOHvvxCkvzRyVSMLxdX/P9KQVeIXxILgqQ5iEMlka3tnVBp8Y6NG4hO,1.739801,13.407293,8.503291
3300,a3F/HJvNXvOHvvxCkvzRyVSMLxdX/P9KQVeIXxILgqQ5iEMlka3tnVBp8Y6NG4hO,5.053595,15.11899,8.78538
3600,a3F/HJvNXvOHvvxCkvzRyVSMLxdX/P9KQVeIXxILgqQ5iEMlka3tnVBp8Y6NG4hO,2.844678,16.268670999999998,9.112337
3900,a3F/HJvNXvOHvvxCkvzRyVSMLxdX/P9KQVeIXxILgqQ5iEMlka3tnVBp8Y6NG4hO,4.986446,59.747267,10.729277
4200,a3F/HJvNXvOHvvxCkvzRyVSMLxdX/P9KQVeIXxILgqQ5iEMlka3tnVBp8Y6NG4hO,2.609075,17.363214000000003,9.008606
4500,a3F/HJvNXvOHvvxCkvzRyVSMLxdX/P9KQVeIXxILgqQ5iEMlka3tnVBp8Y6NG4hO,5.249486,12.876362,8.482272
4800,a3F/HJvNXvOHvvxCkvzRyVSMLxdX/P9KQVeIXxILgqQ5iEMlka3tnVBp8Y6NG4hO,3.679168,13.003200999999999,8.193448
5100,a3F/HJvNXvOHvvxCkvzRyVSMLxdX/P9KQVeIXxILgqQ5iEMlka3tnVBp8Y6NG4hO,1.677845,18.774995,9.185781
5400,a3F/HJvNXvOHvvxCkvzRyVSMLxdX/P9KQVeIXxILgqQ5iEMlka3tnVBp8Y6NG4hO,5.180855,40.001302,12.278193
5700,a3F/HJvNXvOHvvxCkvzRyVSMLxdX/P9KQVeIXxILgqQ5iEMlka3tnVBp8Y6NG4hO,5.279133,12.677285000000001,8.381347
6000,a3F/HJvNXvOHvvxCkvzRyVSMLxdX/P9KQVeIXxILgqQ5iEMlka3tnVBp8Y6NG4hO,5.265666,27.631859999999996,9.195376
6300,a3F/HJvNXvOHvvxCkvzRyVSMLxdX/P9KQVeIXxILgqQ5iEMlka3tnVBp8Y6NG4hO,6.144694,13.260794,8.487975
6600,a3F/HJvNXvOHvvxCkvzRyVSMLxdX/P9KQVeIXxILgqQ5iEMlka3tnVBp8Y6NG4hO,5.570424,13.218129999999999,8.648994
6900,a3F/HJvNXvOHvvxCkvzRyVSMLxdX/P9KQVeIXxILgqQ5iEMlka3tnVBp8Y6NG4hO,2.24949,14.906706,8.714922
7200,a3F/HJvNXvOHvvxCkvzRyVSMLxdX/P9KQVeIXxILgqQ5iEMlka3tnVBp8Y6NG4hO,5.085432,42.928184,11.054953
7500,a3F/HJvNXvOHvvxCkvzRyVSMLxdX/P9KQVeIXxILgqQ5iEMlka3tnVBp8Y6NG4hO,3.371171,13.909195,8.599994
7800,a3F/HJvNXvOHvvxCkvzRyVSMLxdX/P9KQVeIXxILgqQ5iEMlka3tnVBp8Y6NG4hO,6.039887,20.261768,9.476315
8100,a3F/HJvNXvOHvvxCkvzRyVSMLxdX/P9KQVeIXxILgqQ5iEMlka3tnVBp8Y6NG4hO,5.773364,22.211415,9.234175
8400,a3F/HJvNXvOHvvxCkvzRyVSMLxdX/P9KQVeIXxILgqQ5iEMlka3tnVBp8Y6NG4hO,1.191881,14.728670000000001,8.296519
8700,a3F/HJvNXvOHvvxCkvzRyVSMLxdX/P9KQVeIXxILgqQ5iEMlka3tnVBp8Y6NG4hO,5.785686,17.385137,9.021077
9000,a3F/HJvNXvOHvvxCkvzRyVSMLxdX/P9KQVeIXxILgqQ5iEMlka3tnVBp8Y6NG4hO,5.319478,18.901648,9.670124000000001
9300,a3F/HJvNXvOHvvxCkvzRyVSMLxdX/P9KQVeIXxILgqQ5iEMlka3tnVBp8Y6NG4hO,6.092402,26.826344,10.737896000000001
9600,a3F/HJvNXvOHvvxCkvzRyVSMLxdX/P9KQVeIXxILgqQ5iEMlka3tnVBp8Y6NG4hO,3.516211,11.697916000000001,8.319519999999999
9900,a3F/HJvNXvOHvvxCkvzRyVSMLxdX/P9KQVeIXxILgqQ5iEMlka3tnVBp8Y6NG4hO,5.668762999999999,12.724867999999999,8.405513000000001
10200,a3F/HJvNXvOHvvxCkvzRyVSMLxdX/P9KQVeIXxILgqQ5iEMlka3tnVBp8Y6NG4hO,5.56827,24.402468,11.017512
10500,a3F/HJvNXvOHvvxCkvzRyVSMLxdX/P9KQVeIXxILgqQ5iEMlka3tnVBp8Y6NG4hO,2.547581,12.098945,8.601637
10800,a3F/HJvNXvOHvvxCkvzRyVSMLxdX/P9KQVeIXxILgqQ5iEMlka3tnVBp8Y6NG4hO,5.244238,14.050161,9.294825
11100,a3F/HJvNXvOHvvxCkvzRyVSMLxdX/P9KQVeIXxILgqQ5iEMlka3tnVBp8Y6NG4hO,1.57412,47.538183000000004,13.047792
11400,a3F/HJvNXvOHvvxCkvzRyVSMLxdX/P9KQVeIXxILgqQ5iEMlka3tnVBp8Y6NG4hO,5.323745,17.163964,9.350378
11700,a3F/HJvNXvOHvvxCkvzRyVSMLxdX/P9KQVeIXxILgqQ5iEMlka3tnVBp8Y6NG4hO,2.1443659999999998,13.368110999999999,8.667404
12000,a3F/HJvNXvOHvvxCkvzRyVSMLxdX/P9KQVeIXxILgqQ5iEMlka3tnVBp8Y6NG4hO,5.245515,12.327874000000001,8.472728
12300,a3F/HJvNXvOHvvxCkvzRyVSMLxdX/P9KQVeIXxILgqQ5iEMlka3tnVBp8Y6NG4hO,2.751334,20.409577,10.297825
12600,a3F/HJvNXvOHvvxCkvzRyVSMLxdX/P9KQVeIXxILgqQ5iEMlka3tnVBp8Y6NG4hO,5.087716,17.912993,8.856831
12900,a3F/HJvNXvOHvvxCkvzRyVSMLxdX/P9KQVeIXxILgqQ5iEMlka3tnVBp8Y6NG4hO,2.246359,14.295515,8.991616
13200,a3F/HJvNXvOHvvxCkvzRyVSMLxdX/P9KQVeIXxILgqQ5iEMlka3tnVBp8Y6NG4hO,3.1432919999999998,15.303846,8.402249000000001
13500,a3F/HJvNXvOHvvxCkvzRyVSMLxdX/P9KQVeIXxILgqQ5iEMlka3tnVBp8Y6NG4hO,5.338897,34.294791,10.647758
