timestamp,vm_id,min_cpu,avg_cpu,max_cpu
0,a5icDvVRiyLGjEKcjVbeiZGsKzUWFscLGVzDeEWoYIwePtOF9uXC5E/yBUqz4xnb,0.041127,7.267744,1.060905
300,a5icDvVRiyLGjEKcjVbeiZGsKzUWFscLGVzDeEWoYIwePtOF9uXC5E/yBUqz4xnb,0.175525,5.040719,1.205943
600,a5icDvVRiyLGjEKcjVbeiZGsKzUWFscLGVzDeEWoYIwePtOF9uXC5E/yBUqz4xnb,0.19081900000000002,4.904765,1.073401
900,a5icDvVRiyLGjEKcjVbeiZGsKzUWFscLGVzDeEWoYIwePtOF9uXC5E/yBUqz4xnb,0.115102,4.816383999999999,1.094402
1200,a5icDvVRiyLGjEKcjVbeiZGsKzUWFscLGVzDeEWoYIwePtOF9uXC5E/yBUqz4xnb,0.18494100000000002,4.927313,1.078174
1500,a5icDvVRiyLGjEKcjVbeiZGsKzUWFscLGVzDeEWoYIwePtOF9uXC5E/yBUqz4xnb,0.189824,5.211681,1.127529
1800,a5icDvVRiyLGjEKcjVbeiZGsKzUWFscLGVzDeEWoYIwePtOF9uXC5E/yBUqz4xnb,0.16808299999999998,4.920806,1.097333
2100,a5icDvVRiyLGjEKcjVbeiZGsKzUWFscLGVzDeEWoYIwePtOF9uXC5E/yBUqz4xnb,0.17686500000000002,4.986847,1.1588690000000001
2400,a5icDvVRiyLGjEKcjVbeiZGsKzUWFscLGVzDeEWoYIwePtOF9uXC5E/yBUqz4xnb,0.19077,4.823004,1.081836
2700,a5icDvVRiyLGjEKcjVbeiZGsKzUWFscLGVzDeEWoYIwePtOF9uXC5E/yBUqz4xnb,0.075205,5.463841,1.102314
3000,a5icDvVRiyLGjEKcjVbeiZGsKzUWFscLGVzDeEWoYIwePtOF9uXC5E/yBUqz4xnb,0.100779,5.085865,1.048902
3300,a5icDvVRiyLGjEKcjVbeiZGsKzUWFscLGVzDeEWoYIwePtOF9uXC5E/yBUqz4xnb,0.178452,4.93719,1.153716
3600,a5icDvVRiyLGjEKcjVbeiZGsKzUWFscLGVzDeEWoYIwePtOF9uXC5E/yBUqz4xnb,0.175346,7.985817999999999,1.20881
3900,a5icDvVRiyLGjEKcjVbeiZGsKzUWFscLGVzDeEWoYIwePtOF9uXC5E/yBUqz4xnb,0.192604,7.8958509999999995,1.2056360000000002
4200,a5icDvVRiyLGjEKcjVbeiZGsKzUWFscLGVzDeEWoYIwePtOF9uXC5E/yBUqz4xnb,0.060234,4.775958,1.038317
4500,a5icDvVRiyLGjEKcjVbeiZGsKzUWFscLGVzDeEWoYIwePtOF9uXC5E/yBUqz4xnb,0.1762,5.390865,1.1334110000000002
4800,a5icDvVRiyLGjEKcjVbeiZGsKzUWFscLGVzDeEWoYIwePtOF9uXC5E/yBUqz4xnb,0.08997100000000001,4.938059,1.0398399999999999
5100,a5icDvVRiyLGjEKcjVbeiZGsKzUWFscLGVzDeEWoYIwePtOF9uXC5E/yBUqz4xnb,0.167128,4.749008,1.1580709999999999
