timestamp,vm_id,min_cpu,avg_cpu,max_cpu
0,a8PoDwM4sfkP1oQMcIo0Dl1x4Ho4rsUB9PD+hsyKvrBI/cjFAWDUAmOIOzlFzkPI,2.555209,5.51101,3.356793
300,a8PoDwM4sfkP1oQMcIo0Dl1x4Ho4rsUB9PD+hsyKvrBI/cjFAWDUAmOIOzlFzkPI,1.6283239999999999,3.4888510000000004,2.904391
600,a8PoDwM4sfkP1oQMcIo0Dl1x4Ho4rsUB9PD+hsyKvrBI/cjFAWDUAmOIOzlFzkPI,2.125162,4.887934,3.366289
900,a8PoDwM4sfkP1oQMcIo0Dl1x4Ho4rsUB9PD+hsyKvrBI/cjFAWDUAmOIOzlFzkPI,1.652844,4.044961,2.939023
1200,a8PoDwM4sfkP1oQMcIo0Dl1x4Ho4rsUB9PD+hsyKvrBI/cjFAWDUAmOIOzlFzkPI,2.312928,4.591621,3.182563
1500,a8PoDwM4sfkP1oQMcIo0Dl1x4Ho4rsUB9PD+hsyKvrBI/cjFAWDUAmOIOzlFzkPI,2.253311,6.475478,3.1263490000000003
1800,a8PoDwM4sfkP1oQMcIo0Dl1x4Ho4rsUB9PD+hsyKvrBI/cjFAWDUAmOIOzlFzkPI,2.2003220000000003,4.733464,3.156343
2100,a8PoDwM4sfkP1oQMcIo0Dl1x4Ho4rsUB9PD+hsyKvrBI/cjFAWDUAmOIOzlFzkPI,2.545825,4.911409,3.18879
2400,a8PoDwM4sfkP1oQMcIo0Dl1x4Ho4rsUB9PD+hsyKvrBI/cjFAWDUAmOIOzlFzkPI,1.6821270000000001,6.419355,3.310433
2700,a8PoDwM4sfkP1oQMcIo0Dl1x4Ho4rsUB9PD+hsyKvrBI/cjFAWDUAmOIOzlFzkPI,2.4025939999999997,5.544833000000001,3.266449
3000,a8PoDwM4sfkP1oQMcIo0Dl1x4Ho4rsUB9PD+hsyKvrBI/cjFAWDUAmOIOzlFzkPI,2.242348,4.822496,3.117755
3300,a8PoDwM4sfkP1oQMcIo0Dl1x4Ho4rsUB9PD+hsyKvrBI/cjFAWDUAmOIOzlFzkPI,2.2938110000000003,5.606495,3.252565
3600,a8PoDwM4sfkP1oQMcIo0Dl1x4Ho4rsUB9PD+hsyKvrBI/cjFAWDUAmOIOzlFzkPI,2.414159,9.000306,3.671164
3900,a8PoDwM4sfkP1oQMcIo0Dl1x4Ho4rsUB9PD+hsyKvrBI/cjFAWDUAmOIOzlFzkPI,2.609232,5.343191,3.330115
4200,a8PoDwM4sfkP1oQMcIo0Dl1x4Ho4rsUB9PD+hsyKvrBI/cjFAWDUAmOIOzlFzkPI,2.520723,4.908074,3.206007
4500,a8PoDwM4sfkP1oQMcIo0Dl1x4Ho4rsUB9PD+hsyKvrBI/cjFAWDUAmOIOzlFzkPI,2.077117,3.826781,3.033121
4800,a8PoDwM4sfkP1oQMcIo0Dl1x4Ho4rsUB9PD+hsyKvrBI/cjFAWDUAmOIOzlFzkPI,1.092991,3.575525,2.886795
5100,a8PoDwM4sfkP1oQMcIo0Dl1x4Ho4rsUB9PD+hsyKvrBI/cjFAWDUAmOIOzlFzkPI,1.341229,5.215495,3.224589
